feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,symbol
0.0,0.0,0.0,5.421843,4.937646,0.0,0.0,1.7800229,0.0,8.509876,MMM
0.0,0.0,0.0,9.52201,3.3393075,0.0,0.0,5.861062,0.0,9.330945,MMM
0.0,0.0,0.0,5.9153285,5.5167513,0.0,0.0,5.54786,0.0,10.833295,MMM
0.0,0.0,0.0,5.292322,1.4906483,0.0,0.0,2.2694848,0.0,6.89526,MMM
0.0,0.0,0.0,5.902359,5.9165616,0.0,0.0,4.467465,0.0,11.308745,MMM
0.0,0.0,0.0,6.0375915,5.4642696,0.0,0.0,2.8540719,0.0,11.360075,MMM
0.0,0.0,0.0,7.740161,5.5201364,0.0,0.0,9.011952,0.0,7.7740707,MMM
0.0,0.0,0.0,7.4273057,7.292584,0.0,0.0,4.1466813,0.0,11.371872,MMM
0.0,0.0,0.0,8.788079,6.0825825,0.0,0.0,10.032831,0.0,11.971558,MMM
0.0,0.0,0.0,5.9147377,4.626546,0.0,0.0,1.4950773,0.0,11.874371,MMM
0.0,0.0,0.0,9.418152,3.7575305,0.0,0.0,7.33295,0.0,11.122484,MMM
0.0,0.0,0.0,1.9370371,6.1696973,0.0,0.0,2.8738136,0.0,4.3923974,MMM
0.0,0.0,0.0,4.498084,2.188751,0.0,0.0,6.0256257,0.0,5.8044157,MMM
0.0,0.0,0.0,6.721069,5.6448092,0.0,0.0,1.9765571,0.0,10.508549,MMM
0.0,0.0,0.0,7.0222473,6.8616543,0.0,0.0,4.5818253,0.0,10.655225,MMM
0.0,0.0,0.0,8.420386,5.1509604,0.0,0.0,9.2646265,0.0,10.879993,MMM
0.0,0.0,0.0,10.770346,5.2301116,0.0,0.0,6.6672525,0.0,10.50512,MMM
0.0,0.0,0.0,2.3646033,0.43475938,0.0,0.0,3.5169485,0.0,3.174095,MMM
0.0,0.0,0.0,4.6645164,6.194446,0.0,0.0,4.2531066,0.0,11.846535,MMM
0.0,0.0,0.0,8.220929,0.7517818,0.0,0.0,3.1226895,0.0,9.48587,MMM
0.0,0.0,0.0,4.3776712,3.9394562,0.0,0.0,1.5494133,0.0,8.527962,MMM
0.0,0.0,0.0,8.412522,8.439963,0.0,0.0,6.569132,0.0,12.97269,MMM
0.0,0.0,0.0,6.3007426,1.7033789,0.0,0.0,4.7658796,0.0,6.384095,MMM
0.0,0.0,0.0,7.187317,4.567963,0.0,0.0,2.310447,0.0,11.151744,MMM
0.0,0.0,0.0,9.598631,5.0881853,0.0,0.0,3.920589,0.0,10.103158,MMM
